vehicle_brand,year,engine_capacity,miles_driven,selling_price
Mitsubishi,2013,1.6,52,12400.0
Mitsubishi,2009,3.0,135,18500.0
Volkswagen,2011,1.6,18,18000.0
BMW,2011,3.0,108,37700.0
Volkswagen,2012,1.6,101,8499.0
Audi,2013,2.99,65,55000.0
Volkswagen,2008,2.5,112,19500.0
Volkswagen,1995,1.6,259,5300.0
Volkswagen,2011,2.0,185,19000.0
Renault,2006,2.5,183,10500.0
Volkswagen,2013,2.2,1,18300.0
Mitsubishi,2008,2.0,110,9000.0
Mercedes-Benz,2013,3.0,70,83000.0
Mitsubishi,2009,3.2,109,20500.0
Volkswagen,2002,1.9,250,8700.0
Volkswagen,2013,2.0,85,27000.0
Volkswagen,1989,1.8,2,2900.0
BMW,2007,4.8,170,24500.0
BMW,1997,4.4,285,7400.0
Mitsubishi,1990,1.8,1,1550.0
Volkswagen,2016,3.0,1,67622.5485
Mitsubishi,1996,2.0,300,3500.0
Mercedes-Benz,2013,4.6,47,115000.0
Mercedes-Benz,2009,2.2,144,14000.0
Mitsubishi,2009,3.0,102,15500.0
Mercedes-Benz,2004,5.0,266,10500.0
Mercedes-Benz,2010,3.5,100,35500.0
Toyota,2008,2.4,139,13900.0
Mercedes-Benz,2003,3.2,186,11600.0
Renault,2012,2.0,138,10900.0
Audi,1998,2.5,275,2100.0
Mercedes-Benz,2003,2.7,250,5500.0
Renault,2012,1.5,165,11600.0
Volkswagen,2013,1.6,195,12500.0
BMW,2010,1.6,145,12090.0
Renault,2012,1.5,118,6700.0
Mitsubishi,2009,3.2,97,18700.0
Mercedes-Benz,2001,4.3,215,4100.0
Volkswagen,2004,1.6,210,7999.0
BMW,2002,2.0,295,3350.0
Toyota,2005,2.7,154,16800.0
Mercedes-Benz,2001,2.0,187,7500.0
Volkswagen,2010,1.4,95,9950.0
Mitsubishi,1987,2.4,220,2500.0
Volkswagen,2012,3.0,37,40500.0
Mercedes-Benz,2011,2.2,171,14500.0
BMW,2007,4.8,187,25500.0
Volkswagen,2012,2.0,156,13900.0
BMW,2000,4.4,193,11500.0
Mercedes-Benz,2012,4.7,11,59999.0
BMW,2002,4.5,221,8999.0
Mercedes-Benz,2008,5.5,46,53500.0
Mercedes-Benz,2011,2.2,161,23500.0
Renault,2005,1.5,202,6300.0
Renault,2015,1.2,1,10396.23
Renault,2013,1.5,170,7800.0
Renault,2016,1.5,1,20996.235
BMW,2000,3.0,246,8100.0
Mercedes-Benz,1989,2.5,111,3900.0
Renault,2011,2.0,138,10300.0
BMW,1990,2.5,237,3200.0
Toyota,2007,1.8,107,9300.0
Renault,2007,2.0,220,9150.0
Mercedes-Benz,2001,2.2,170,7000.0
Mercedes-Benz,2000,2.2,215,6500.0
Renault,2012,2.0,158,9000.0
Mercedes-Benz,1991,2.6,409,4500.0
Toyota,1995,1.4,282,3700.0
BMW,2006,3.0,125,17500.0
Mercedes-Benz,2003,2.6,342,9300.0
BMW,2001,2.2,170,8899.0
Audi,2003,2.5,206,4500.0
Audi,1996,2.5,186,8300.0
Mercedes-Benz,1996,1.8,300,4000.0
Toyota,2013,3.5,125,23660.0
Toyota,2007,2.4,140,15500.0
Mercedes-Benz,2003,5.0,56,20500.0
Mercedes-Benz,2009,5.5,86,63000.0
BMW,2001,3.0,240,3900.0
Renault,2010,2.5,111,13900.0
Mercedes-Benz,2001,2.0,230,7700.0
BMW,1995,2.5,200,4700.0
Mercedes-Benz,2004,3.2,208,12500.0
Mitsubishi,1997,1.6,145,1850.0
Mercedes-Benz,2011,2.2,170,23500.0
Mercedes-Benz,2014,3.0,40,109900.0
Mercedes-Benz,2013,6.3,30,219900.0
Mercedes-Benz,1997,4.2,450,6200.0
Renault,1999,1.4,164,3100.0
Toyota,2003,2.4,180,10200.0
Mercedes-Benz,2012,1.8,97,24900.0
BMW,1999,2.0,290,2500.0
Audi,2006,1.6,165,9800.0
Toyota,2010,3.5,103,25500.0
Audi,2008,4.2,163,24900.0
Renault,2011,1.5,177,11950.0
Volkswagen,1999,2.4,380,5500.0
Renault,2012,1.5,84,8600.0
BMW,2007,5.0,158,26900.0
Renault,2013,1.5,157,8500.0
Audi,1999,2.5,310,3150.0
Audi,2010,2.8,127,19990.0
Renault,2003,1.5,245,5000.0
Audi,2014,3.0,95,44800.0
Audi,2013,2.0,150,27500.0
BMW,1998,2.0,311,6500.0
Volkswagen,2005,1.8,280,7500.0
Toyota,1979,1.5,10,600.0
Toyota,2008,1.6,115,8900.0
Renault,2007,1.5,1,4500.0
Volkswagen,2012,1.6,153,10600.0
Mercedes-Benz,2007,3.0,160,12700.0
Volkswagen,2012,2.0,126,9850.0
Mitsubishi,2007,3.0,165,17700.0
Volkswagen,2001,1.8,178,7400.0
Renault,2008,1.6,79,8200.0
Renault,2003,1.9,207,8000.0
Mercedes-Benz,2013,2.2,126,13995.0
Toyota,2011,1.6,110,11500.0
Renault,2012,1.5,114,9700.0
Volkswagen,2006,1.9,188,9500.0
BMW,2008,2.0,1,19990.0
BMW,2012,3.0,79,18500.0
Renault,2009,1.5,233,10500.0
Audi,2011,2.0,27,30900.0
Volkswagen,2003,1.9,255,3250.0
Mercedes-Benz,1997,2.3,395,3500.0
Mercedes-Benz,2009,2.2,190,13600.0
Toyota,2006,4.0,152,24000.0
Mercedes-Benz,2000,2.2,350,3799.0
Volkswagen,1991,1.8,3,3500.0
Renault,2007,1.6,219,6800.0
BMW,1996,1.6,250,2600.0
Mitsubishi,2007,1.6,175,6150.0
Mercedes-Benz,1988,3.0,350,2700.0
Toyota,2008,2.4,145,12800.0
Volkswagen,2012,2.0,56,18900.0
Volkswagen,2016,3.0,2,61000.0
BMW,2001,4.4,375,10900.0
Toyota,2010,1.8,100,14900.0
Audi,2011,2.0,190,18300.0
Toyota,2008,4.0,132,24000.0
Volkswagen,2002,2.5,275,9000.0
Audi,2007,4.2,205,23800.0
Mercedes-Benz,2004,2.6,120,15300.0
Volkswagen,2008,2.0,150,9300.0
Volkswagen,2014,2.0,1,30385.0
Mercedes-Benz,2003,2.2,260,8700.0
Volkswagen,2011,2.0,90,16000.0
Volkswagen,2014,1.6,1,11818.95
Volkswagen,2011,2.0,130,10650.0
Audi,1998,2.5,310,2000.0
BMW,1988,2.4,460,2200.0
Mercedes-Benz,2003,3.2,313,12950.0
Mercedes-Benz,2000,2.2,240,8700.0
Mercedes-Benz,2008,1.8,90,18800.0
Volkswagen,2007,1.6,132,9600.0
Mercedes-Benz,1990,2.0,375,3900.0
Renault,2009,1.5,190,9000.0
Toyota,1996,4.5,200,10500.0
Renault,2005,1.5,160,5500.0
Toyota,2014,1.33,38,13200.0
Renault,2007,1.5,122,6200.0
Mercedes-Benz,2006,2.2,210,15250.0
Renault,2010,2.0,152,9700.0
Audi,2003,2.5,190,9999.0
Mitsubishi,2016,2.4,1,36000.0
Volkswagen,2011,2.0,167,8900.0
Mitsubishi,2008,3.0,138,15900.0
Renault,2004,1.9,217,8300.0
Mercedes-Benz,2011,2.2,193,12700.0
Toyota,2010,1.4,74,11000.0
Mercedes-Benz,2012,4.7,43,57000.0
Renault,2010,1.5,100,8700.0
BMW,2007,2.5,245,18000.0
Audi,2005,2.0,300,13700.0
Mitsubishi,2007,2.4,140,12999.0
Toyota,2013,1.6,50,17200.0
Volkswagen,2008,2.5,176,12900.0
Renault,2005,2.5,228,6200.0
Audi,1997,2.0,470,6700.0
BMW,2005,2.5,160,11900.0
Mitsubishi,2008,3.0,135,16950.0
Mercedes-Benz,1988,2.4,350,2100.0
Volkswagen,2014,2.0,38,16950.0
Toyota,2013,1.4,48,13700.0
Toyota,2007,2.7,240,17835.0
Volkswagen,2006,1.9,168,7900.0
Audi,2016,1.4,1,44000.0
Volkswagen,2011,2.0,170,6800.0
Toyota,2012,3.5,83,28900.0
BMW,2014,2.0,33,46800.0
Volkswagen,2013,3.5,120,44700.0
Toyota,2004,2.7,130,16500.0
Mitsubishi,2007,2.0,160,6999.0
BMW,1996,2.8,300,6000.0
Toyota,2008,3.5,102,13900.0
Toyota,2012,2.0,48,20100.0
Mitsubishi,2008,3.2,194,17500.0
Mitsubishi,2001,1.8,168,1999.0
Renault,2008,1.5,120,7800.0
Toyota,2014,3.0,2,36500.0
Volkswagen,2003,2.5,273,11900.0
Mercedes-Benz,2007,6.3,32,74900.0
Toyota,2007,1.6,93,8500.0
Toyota,2013,2.7,82,32900.0
Mitsubishi,2006,1.3,118,6000.0
Audi,1996,1.9,320,7000.0
Mercedes-Benz,2007,5.5,90,28500.0
Audi,2010,3.0,40,36000.0
Renault,2011,2.0,195,10550.0
Mitsubishi,2012,2.0,47,19000.0
Mitsubishi,2008,2.4,119,11100.0
Renault,2007,2.0,270,9400.0
Mercedes-Benz,2008,1.8,90,18500.0
Mercedes-Benz,2008,3.2,154,35000.0
Renault,2009,1.5,100,9500.0
Volkswagen,2004,2.0,250,7000.0
Volkswagen,2012,2.0,52,25500.0
Mitsubishi,2006,1.3,108,5999.0
Toyota,1987,2.0,243,4000.0
Mitsubishi,2008,3.5,150,16500.0
Toyota,2013,4.0,11,39900.0
Renault,2012,1.1,125,12800.0
Renault,2003,2.0,125,6300.0
BMW,2008,3.0,147,30500.0
Mitsubishi,2007,2.0,143,8700.0
Toyota,2012,1.4,140,9950.0
Volkswagen,2003,1.9,257,2900.0
Volkswagen,2012,1.8,107,20600.0
Renault,2003,1.5,300,4299.0
Volkswagen,2003,1.4,90,7990.0
Mercedes-Benz,2001,2.6,174,10200.0
Volkswagen,1994,1.8,161,1550.0
BMW,1999,2.8,300,7250.0
BMW,1993,1.8,204,5300.0
Mercedes-Benz,2011,2.2,98,13999.0
Audi,2004,2.5,284,9900.0
Mitsubishi,2008,2.0,112,7999.0
Mitsubishi,2002,3.2,269,10200.0
Renault,2014,1.5,66,8250.0
Volkswagen,1995,1.9,290,4600.0
Toyota,2012,2.5,80,21999.0
Mercedes-Benz,2016,2.2,1,47600.0
Toyota,2009,2.4,116,15300.0
Mercedes-Benz,2006,2.2,360,8999.0
Volkswagen,2005,2.0,235,5200.0
Toyota,2004,3.0,185,7500.0
BMW,2010,2.0,134,32500.0
Volkswagen,2005,1.4,200,8350.0
Mercedes-Benz,2016,3.0,1,111999.0
Volkswagen,2007,2.5,178,9900.0
BMW,1989,3.0,380,3900.0
Mercedes-Benz,2014,1.8,40,28950.0
Volkswagen,2007,2.5,153,10200.0
Volkswagen,2007,1.9,223,6650.0
BMW,2010,3.0,200,33000.0
Mercedes-Benz,2016,3.0,1,104999.0
Renault,2003,2.0,217,5800.0
Audi,2010,3.0,145,36000.0
Toyota,2007,4.0,200,25500.0
Mitsubishi,2007,2.4,140,12200.0
Mercedes-Benz,2008,3.2,220,31000.0
Toyota,2003,4.7,260,24500.0
Volkswagen,2014,2.0,59,49999.0
Mercedes-Benz,1999,2.2,400,5000.0
Toyota,2007,2.5,180,14500.0
Mercedes-Benz,2012,2.2,184,9600.0
Volkswagen,2011,1.6,171,9900.0
Volkswagen,2007,2.0,118,11500.0
Mercedes-Benz,2000,2.3,220,2800.0
Toyota,2009,4.0,97,25900.0
Toyota,2014,2.5,60,24000.0
BMW,2001,3.0,287,8800.0
Volkswagen,2007,2.5,270,10500.0
Renault,2005,1.9,206,8100.0
Mercedes-Benz,2003,2.2,248,4900.0
Renault,2007,2.0,181,7400.0
Renault,2012,1.5,155,11100.0
Renault,2005,1.5,210,7000.0
Toyota,2010,1.6,24,13850.0
Volkswagen,2000,2.5,312,6400.0
BMW,2007,2.0,245,8100.0
Mercedes-Benz,2013,5.0,30,99999.0
Audi,1996,1.8,250,5200.0
Toyota,2008,2.4,126,11700.0
Volkswagen,2011,2.0,200,22500.0
Mercedes-Benz,2001,2.2,462,3800.0
BMW,2006,4.8,290,19999.0
BMW,2015,4.4,7,133000.0
BMW,2008,2.0,114,18500.0
Volkswagen,2012,1.4,144,17500.0
Volkswagen,2012,3.0,189,38000.0
Mercedes-Benz,2011,1.8,77,24500.0
Mercedes-Benz,2008,3.0,200,21999.0
Mitsubishi,2007,3.8,106,18900.0
Toyota,2012,3.5,97,28500.0
Renault,2012,1.5,148,6450.0
Audi,2016,2.0,1,52055.25
Renault,2011,1.5,68,11900.0
Volkswagen,2013,1.6,59,9000.0
Volkswagen,2014,1.6,88,9599.0
Volkswagen,2011,1.6,125,8999.0
BMW,2016,3.0,1,99999.0
Audi,2005,2.4,225,10900.0
Renault,2004,1.5,220,4400.0
Renault,2012,2.0,183,10200.0
Toyota,2013,2.5,18,20900.0
Volkswagen,2006,1.9,345,7000.0
Volkswagen,2011,2.0,115,14100.0
Toyota,2008,1.8,156,11000.0
Renault,2005,2.0,175,8000.0
Toyota,2009,2.4,113,14100.0
Mercedes-Benz,2006,3.0,178,14500.0
Mercedes-Benz,2009,5.46,149,27300.0
Volkswagen,2010,1.4,91,11900.0
Audi,2009,3.2,114,21900.0
Toyota,2002,2.0,200,8200.0
Mercedes-Benz,2009,3.5,96,23900.0
Renault,2013,1.5,125,7600.0
Mitsubishi,1997,2.5,93,2600.0
Mercedes-Benz,2016,1.6,1,65000.0
Volkswagen,2000,1.4,200,5800.0
Mercedes-Benz,2011,2.2,74,22900.0
Volkswagen,2012,1.8,110,17650.0
Volkswagen,2011,2.0,176,11999.0
Mercedes-Benz,2005,2.2,220,9500.0
Volkswagen,2011,1.6,200,8500.0
BMW,1999,2.5,226,7000.0
Toyota,2016,4.5,1,100000.0
Mercedes-Benz,2013,2.0,69,34000.0
Volkswagen,2013,1.4,56,15800.0
Toyota,2007,4.0,156,26200.0
Mercedes-Benz,1998,2.3,400,5000.0
Audi,2010,3.0,155,20500.0
Volkswagen,2005,2.0,260,7650.0
BMW,1994,2.5,307,4500.0
Mercedes-Benz,2007,2.2,277,11900.0
Volkswagen,2005,1.9,216,8500.0
Volkswagen,2012,1.4,48,13500.0
Toyota,2006,4.0,110,21900.0
Volkswagen,2007,1.6,156,9900.0
Toyota,2012,2.5,65,21999.0
Volkswagen,2015,2.0,25,20900.0
Volkswagen,2011,1.4,132,11900.0
Volkswagen,2011,2.0,167,12650.0
Mercedes-Benz,2000,2.7,350,9299.0
Mercedes-Benz,1999,2.9,40,8000.0
Toyota,2004,2.0,168,8300.0
Volkswagen,1999,1.9,300,4999.0
BMW,1997,4.4,250,8200.0
Volkswagen,2012,2.0,78,25200.0
BMW,2012,2.0,108,24000.0
BMW,2004,3.0,276,13700.0
BMW,2011,3.0,230,29500.0
Renault,2011,1.5,250,10500.0
Toyota,2015,2.7,1,33715.5
Toyota,2008,1.8,142,9950.0
Volkswagen,1989,1.8,320,3600.0
Mercedes-Benz,2015,2.2,1,50250.0
Renault,2003,1.5,165,4650.0
BMW,2004,6.0,190,19500.0
Volkswagen,2016,2.0,1,28900.0
BMW,2015,2.0,1,63000.0
Volkswagen,2011,2.0,101,6500.0
Mercedes-Benz,1994,3.2,366,6000.0
BMW,2013,2.0,37,34400.0
Renault,2003,2.0,225,5750.0
Renault,2012,1.5,101,7200.0
Volkswagen,2013,2.0,167,34500.0
Renault,2012,1.5,136,6400.0
Mitsubishi,2006,2.4,120,9700.0
BMW,1990,2.5,230,4700.0
Renault,2013,1.5,43,7500.0
Volkswagen,2015,2.0,1,69990.0
Mitsubishi,2006,3.8,215,17000.0
Mitsubishi,2007,1.6,60,4999.0
Renault,1994,1.8,77,3400.0
Audi,2011,2.0,67,33500.0
Mercedes-Benz,2012,2.2,165,11800.0
Mercedes-Benz,2002,2.7,197,12950.0
Mercedes-Benz,1999,3.2,199,4800.0
Audi,2014,1.8,32,31700.0
Mercedes-Benz,2006,2.2,250,8000.0
Renault,2011,1.5,94,9300.0
Toyota,2013,2.5,102,26500.0
Mitsubishi,2009,2.0,84,9200.0
BMW,1990,2.0,300,3650.0
Audi,2016,3.0,1,92222.0
Toyota,2012,4.5,68,61990.0
Mercedes-Benz,2005,2.2,300,4300.0
Volkswagen,2014,1.4,1,10493.0
Renault,2012,1.6,88,9500.0
Mercedes-Benz,2015,2.2,39,40500.0
Toyota,2008,3.5,69,21999.0
Mitsubishi,2013,2.0,52,18600.0
Mercedes-Benz,2016,1.6,1,57000.0
BMW,2011,3.0,115,37200.0
BMW,2006,3.0,154,16800.0
Renault,2006,1.5,141,7999.0
Mitsubishi,2002,1.6,300,5400.0
Volkswagen,2003,1.9,193,3300.0
BMW,1998,3.5,200,5500.0
Volkswagen,1995,1.9,400,5500.0
BMW,2007,5.0,56,49000.0
Mitsubishi,2007,1.6,94,7500.0
Renault,2012,1.5,180,11100.0
Mitsubishi,2009,1.5,91,8400.0
Volkswagen,2012,1.6,75,10600.0
BMW,2001,2.2,147,5300.0
BMW,1994,2.5,313,3500.0
Mercedes-Benz,2012,2.2,112,24999.0
Audi,1999,2.5,278,3000.0
BMW,2013,2.0,17,36900.0
